route_id,origin,destination,travel_corridor,service_category,pricing_model,distance,estimated_travel_time,hatchback_price,sedan_price,suv_price,innova_price,per_km_rates,round_trip_rates,driver_allowance,tolls_and_taxes,url
home,General,General,Other Regional Routes & Informational Hubs,Special Service / Information Page,custom_or_hourly,Per actual route,Varies by traffic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.agrashivtourandtravels.com/
10-iconic-attractions-and-places-to-visit-in-delhi,Agra / Delhi,10 Iconic Attractions And Places To Visit In Delhi,"Curated Tour Packages (Agra, Jaipur, Delhi, Bharatpur)",Tour Package,tour_package,Per actual route,Varies by traffic,Contact for quote,"Rs. 2,000 (Agra Tour) / Custom","Rs. 2,700 (Agra Tour) / Custom",Custom Package Quote,Package Fixed Price,Sightseeing Return Included,Included,"Fuel, Parking, Tolls Included",https://www.agrashivtourandtravels.com/10-iconic-attractions-and-places-to-visit-in-delhi/
15-btn-pac-agra-to-chandigarh-taxi-services,15 Btn Pac Agra,Chandigarh,Agra (Localities) -> Chandigarh,Outstation Taxi,day_package_120km,450 km,7 to 8 hours,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/15-btn-pac-agra-to-chandigarh-taxi-services/
5-layers-of-safety-measures-taken-during-ride,General,General,Other Regional Routes & Informational Hubs,Special Service / Information Page,custom_or_hourly,Per actual route,Varies by traffic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.agrashivtourandtravels.com/5-layers-of-safety-measures-taken-during-ride/
509-command-agra-to-chandigarh-taxi-services,509 Command Agra,Chandigarh,Agra (Localities) -> Chandigarh,Outstation Taxi,day_package_120km,450 km,7 to 8 hours,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/509-command-agra-to-chandigarh-taxi-services/
a-f-palam-delhi-to-mathura-taxi,A F Palam Delhi,Mathura,Delhi -> Mathura,Outstation Taxi,one_way_and_round_trip,Per actual route,Varies by traffic,"Rs. 2,500","Rs. 2,900","Rs. 4,200","Rs. 4,800",Hatchback: Rs. 9/km | Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,"Hatchback: Rs. 5,000 | Sedan: Rs. 6,000 | SUV: Rs. 8,000 | Innova: Rs. 9,400",Included in fixed fare,Included in quoted fare,https://www.agrashivtourandtravels.com/a-f-palam-delhi-to-mathura-taxi/
a-f-rajokari-delhi-to-mathura-taxi,A F Rajokari Delhi,Mathura,Delhi -> Mathura,Outstation Taxi,one_way_and_round_trip,Per actual route,Varies by traffic,"Rs. 2,500","Rs. 2,900","Rs. 4,200","Rs. 4,800",Hatchback: Rs. 9/km | Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,"Hatchback: Rs. 5,000 | Sedan: Rs. 6,000 | SUV: Rs. 8,000 | Innova: Rs. 9,400",Included in fixed fare,Included in quoted fare,https://www.agrashivtourandtravels.com/a-f-rajokari-delhi-to-mathura-taxi/
a-g-c-r-delhi-to-mathura-taxi,A G C R Delhi,Mathura,Delhi -> Mathura,Outstation Taxi,one_way_and_round_trip,Per actual route,Varies by traffic,"Rs. 2,500","Rs. 2,900","Rs. 4,200","Rs. 4,800",Hatchback: Rs. 9/km | Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,"Hatchback: Rs. 5,000 | Sedan: Rs. 6,000 | SUV: Rs. 8,000 | Innova: Rs. 9,400",Included in fixed fare,Included in quoted fare,https://www.agrashivtourandtravels.com/a-g-c-r-delhi-to-mathura-taxi/
a-p-s-colony-delhi-to-mathura-taxi,A P S Colony Delhi,Mathura,Delhi -> Mathura,Outstation Taxi,one_way_and_round_trip,Per actual route,Varies by traffic,"Rs. 2,500","Rs. 2,900","Rs. 4,200","Rs. 4,800",Hatchback: Rs. 9/km | Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,"Hatchback: Rs. 5,000 | Sedan: Rs. 6,000 | SUV: Rs. 8,000 | Innova: Rs. 9,400",Included in fixed fare,Included in quoted fare,https://www.agrashivtourandtravels.com/a-p-s-colony-delhi-to-mathura-taxi/
a-t-mills-delhi-to-mathura-taxi,A T Mills Delhi,Mathura,Delhi -> Mathura,Outstation Taxi,one_way_and_round_trip,Per actual route,Varies by traffic,"Rs. 2,500","Rs. 2,900","Rs. 4,200","Rs. 4,800",Hatchback: Rs. 9/km | Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,"Hatchback: Rs. 5,000 | Sedan: Rs. 6,000 | SUV: Rs. 8,000 | Innova: Rs. 9,400",Included in fixed fare,Included in quoted fare,https://www.agrashivtourandtravels.com/a-t-mills-delhi-to-mathura-taxi/
achnera-agra-to-chandigarh-taxi-services,Achnera Agra,Chandigarh,Agra (Localities) -> Chandigarh,Outstation Taxi,day_package_120km,450 km,7 to 8 hours,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/achnera-agra-to-chandigarh-taxi-services/
achnera-mandi-agra-to-chandigarh-taxi-services,Achnera Mandi Agra,Chandigarh,Agra (Localities) -> Chandigarh,Outstation Taxi,day_package_120km,450 km,7 to 8 hours,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/achnera-mandi-agra-to-chandigarh-taxi-services/
adarsh-nagar-delhi-to-mathura-taxi,Adarsh Nagar Delhi,Mathura,Delhi -> Mathura,Outstation Taxi,one_way_and_round_trip,Per actual route,Varies by traffic,"Rs. 2,500","Rs. 2,900","Rs. 4,200","Rs. 4,800",Hatchback: Rs. 9/km | Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,"Hatchback: Rs. 5,000 | Sedan: Rs. 6,000 | SUV: Rs. 8,000 | Innova: Rs. 9,400",Included in fixed fare,Included in quoted fare,https://www.agrashivtourandtravels.com/adarsh-nagar-delhi-to-mathura-taxi/
agon-gurgaon-to-agra-taxi,Agon Gurgaon,Agra,Delhi / Gurgaon (NCR) -> Agra,Outstation Taxi,one_way_and_round_trip,Per actual route,Varies by traffic,"Rs. 2,500","Rs. 2,900","Rs. 4,200","Rs. 4,800",Hatchback: Rs. 9/km | Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,"Hatchback: Rs. 5,000 | Sedan: Rs. 6,000 | SUV: Rs. 8,000 | Innova: Rs. 9,400",Included in fixed fare,Included in quoted fare,https://www.agrashivtourandtravels.com/agon-gurgaon-to-agra-taxi/
agra-barrcks-to-chandigarh-taxi-services,Agra Barrcks,Chandigarh,Agra (Localities) -> Chandigarh,Outstation Taxi,day_package_120km,450 km,7 to 8 hours,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-barrcks-to-chandigarh-taxi-services/
agra-chauk-to-chandigarh-taxi-services,Agra Chauk,Chandigarh,Agra (Localities) -> Chandigarh,Outstation Taxi,day_package_120km,450 km,7 to 8 hours,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-chauk-to-chandigarh-taxi-services/
agra-city-to-chandigarh-taxi-services,Agra City,Chandigarh,Agra (Localities) -> Chandigarh,Outstation Taxi,day_package_120km,450 km,7 to 8 hours,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-city-to-chandigarh-taxi-services/
agra-fort-to-chandigarh-taxi-services,Agra Fort,Chandigarh,Agra (Localities) -> Chandigarh,Outstation Taxi,day_package_120km,450 km,7 to 8 hours,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-fort-to-chandigarh-taxi-services/
agra-to-anjar-tempo-traveller,Agra,Anjar,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-anjar-tempo-traveller/
agra-to-anjhi-shahabad-tempo-traveller,Agra,Anjhi Shahabad,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-anjhi-shahabad-tempo-traveller/
agra-to-ankai-tempo-traveller,Agra,Ankai,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-ankai-tempo-traveller/
agra-to-ankola-tempo-traveller,Agra,Ankola,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-ankola-tempo-traveller/
agra-to-annanur-tempo-traveller,Agra,Annanur,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-annanur-tempo-traveller/
agra-to-annaram-tempo-traveller,Agra,Annaram,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-annaram-tempo-traveller/
agra-to-annavaram-tempo-traveller,Agra,Annavaram,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-annavaram-tempo-traveller/
agra-to-annigeri-tempo-traveller,Agra,Annigeri,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-annigeri-tempo-traveller/
agra-to-anpara-tempo-traveller,Agra,Anpara,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-anpara-tempo-traveller/
agra-to-antu-tempo-traveller,Agra,Antu,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-antu-tempo-traveller/
agra-to-anupgarh-tempo-traveller,Agra,Anupgarh,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-anupgarh-tempo-traveller/
agra-to-aonla-tempo-traveller,Agra,Aonla,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-aonla-tempo-traveller/
agra-to-arakkonam-junction-tempo-traveller,Agra,Arakkonam Junction,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-arakkonam-junction-tempo-traveller/
agra-to-kota-taxi-services,Agra,Kota,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kota-taxi-services/
agra-to-kotagiri-taxi-services,Agra,Kotagiri,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kotagiri-taxi-services/
agra-to-kotdwara-taxi-services,Agra,Kotdwara,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kotdwara-taxi-services/
agra-to-kotli-kalan-taxi-services,Agra,Kotli Kalan,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kotli-kalan-taxi-services/
agra-to-kotma-taxi-services,Agra,Kotma,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kotma-taxi-services/
agra-to-kotputli-taxi-services,Agra,Kotputli,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kotputli-taxi-services/
agra-to-kotshila-taxi-services,Agra,Kotshila,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kotshila-taxi-services/
agra-to-kottapalli-taxi-services,Agra,Kottapalli,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kottapalli-taxi-services/
agra-to-kottayam-taxi-services,Agra,Kottayam,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kottayam-taxi-services/
agra-to-kotturu-taxi-services,Agra,Kotturu,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kotturu-taxi-services/
agra-to-kovilpatti-taxi-services,Agra,Kovilpatti,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kovilpatti-taxi-services/
agra-to-koyilandy-taxi-services,Agra,Koyilandy,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-koyilandy-taxi-services/
agra-to-kozhikode-taxi-services,Agra,Kozhikode,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kozhikode-taxi-services/
agra-to-krishnagiri-taxi-services,Agra,Krishnagiri,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-krishnagiri-taxi-services/
agra-to-krishnarajapuram-taxi-services,Agra,Krishnarajapuram,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-krishnarajapuram-taxi-services/
agra-to-kuchaman-city-taxi-services,Agra,Kuchaman City,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kuchaman-city-taxi-services/
agra-to-kudal-taxi-services,Agra,Kudal,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kudal-taxi-services/
agra-to-kufri-taxi-services,Agra,Kufri,Other Regional Routes & Informational Hubs,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/agra-to-kufri-taxi-services/
agra-to-murshidabad-tempo-traveller,Agra,Murshidabad,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-murshidabad-tempo-traveller/
agra-to-murthal-tempo-traveller,Agra,Murthal,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-murthal-tempo-traveller/
agra-to-mushet-tempo-traveller,Agra,Mushet,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-mushet-tempo-traveller/
agra-to-mussoorie-tempo-traveller,Agra,Mussoorie,Agra -> Pan-India Long Distance (Tempo Traveller),Tempo Traveller Rental,tempo_traveller,Per actual route,Varies by traffic,N/A (Group Mini-Bus),N/A (Group Mini-Bus),From Rs. 17 / KM (7-Seater),From Rs. 25 / KM (12-Seater),7 Seater: Rs. 17/km up to 26 Seater: Rs. 34/km,Min 300 KM / Day billing rule,Rs. 500 / Day,"Tolls, Parking & State Tax Extra",https://www.agrashivtourandtravels.com/agra-to-mussoorie-tempo-traveller/
