route_id,origin,destination,travel_corridor,service_category,pricing_model,distance,estimated_travel_time,hatchback_price,sedan_price,suv_price,innova_price,per_km_rates,round_trip_rates,driver_allowance,tolls_and_taxes,url
dhanina-agra-to-chandigarh-taxi-services,Dhanina Agra,Chandigarh,Agra (Localities) -> Chandigarh,Outstation Taxi,day_package_120km,450 km,7 to 8 hours,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/dhanina-agra-to-chandigarh-taxi-services/
dhanina-to-gurgaon-taxi-services,Dhanina,Gurgaon,Agra (Localities) -> Gurgaon,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/dhanina-to-gurgaon-taxi-services/
dhanina-to-haridwar-taxi-services,Dhanina,Haridwar,Agra (Localities) -> Haridwar,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/dhanina-to-haridwar-taxi-services/
dhankot-gurgaon-to-agra-taxi,Dhankot Gurgaon,Agra,Delhi / Gurgaon (NCR) -> Agra,Outstation Taxi,one_way_and_round_trip,Per actual route,Varies by traffic,"Rs. 2,500","Rs. 2,900","Rs. 4,200","Rs. 4,800",Hatchback: Rs. 9/km | Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,"Hatchback: Rs. 5,000 | Sedan: Rs. 6,000 | SUV: Rs. 8,000 | Innova: Rs. 9,400",Included in fixed fare,Included in quoted fare,https://www.agrashivtourandtravels.com/dhankot-gurgaon-to-agra-taxi/
dhanoli-kiraoli-agra-to-chandigarh-taxi-services,Dhanoli Kiraoli Agra,Chandigarh,Agra (Localities) -> Chandigarh,Outstation Taxi,day_package_120km,450 km,7 to 8 hours,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/dhanoli-kiraoli-agra-to-chandigarh-taxi-services/
dhanoli-to-gurgaon-taxi-services,Dhanoli,Gurgaon,Agra (Localities) -> Gurgaon,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/dhanoli-to-gurgaon-taxi-services/
dhanoli-to-haridwar-taxi-services,Dhanoli,Haridwar,Agra (Localities) -> Haridwar,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/dhanoli-to-haridwar-taxi-services/
dharera-etmadpur-agra-to-chandigarh-taxi-services,Dharera Etmadpur Agra,Chandigarh,Agra (Localities) -> Chandigarh,Outstation Taxi,day_package_120km,450 km,7 to 8 hours,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/dharera-etmadpur-agra-to-chandigarh-taxi-services/
dharera-to-gurgaon-taxi-services,Dharera,Gurgaon,Agra (Localities) -> Gurgaon,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/dharera-to-gurgaon-taxi-services/
dharera-to-haridwar-taxi-services,Dharera,Haridwar,Agra (Localities) -> Haridwar,Outstation Taxi,day_package_120km,Per actual route,Varies by traffic,"Rs. 2,200 (120 KM)","Rs. 2,800 (120 KM)","Rs. 3,000 (120 KM)","Rs. 3,600 (120 KM)",Extra KM: Hatch/Sedan: Rs. 10/km | SUV: Rs. 14/km | Innova: Rs. 16/km,Standard Day Package (120 KM limit),Included for 1-day trip,Included in package,https://www.agrashivtourandtravels.com/dharera-to-haridwar-taxi-services/
